id,address,style,year,lat,lon
434,132 S Franklin St,Victorian georgian regency,1885,43.076158,-89.3777
435,1204 Rutledge St,Old Style,1885,43.081612,-89.361731
436,312 N Hamilton St,Old Style,1885,43.079607,-89.384264
437,701 Pulley Dr,Bungalow,1885,43.106783,-89.301929
438,408 W Washington Ave,Old Style,1885,43.071375,-89.389494
439,7 S Bassett St,Flat,1885,43.069939,-89.389962
440,522 W Washington Ave,Flat,1885,43.069836,-89.391851
441,4821 Mineral Point Rd,Bungalow,1885,43.060609,-89.460371
442,216 N Dickinson St,Bungalow,1886,43.090325,-89.3670999
443,4201 Maher Ave,Bungalow,1886,43.080653,-89.317824
444,4538 E Buckeye Rd,Old Style,1886,43.073479,-89.303721
445,17 N Bassett St,Old Style,1886,43.070728,-89.391137
446,215 N Livingston St,Old Style,1886,43.083059,-89.37736
447,138 N Franklin St,Old Style,1886,43.079475,-89.382105
448,201 E Mifflin St,Flat,1886,43.076986,-89.382881
449,125 E Gilman St,Victorian georgian regency,1886,43.079398,-89.386404
450,121 Langdon St,Victorian georgian regency,1886,43.077277,-89.391199
451,23 E Johnson St,Flat,1886,43.077271,-89.385985
452,214 N Baldwin St,Old Style,1886,43.088996,-89.368947
453,722 E Johnson St,Flat,1886,43.082673,-89.379256
454,213 S Baldwin St,Old Style,1886,43.085651,-89.363523
455,1227 Spaight St,Old Style,1886,43.082413,-89.361421
